x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:55:56.297,0,0,0,0,0,100,
2023-06-30 16:55:56.96,0,0,0,0,0,45,
2023-06-30 16:55:57.512,0,0,0,0,0,-31,
2023-06-30 16:55:58.175,0,0,0,0,0,-99,
2023-06-30 16:55:58.728,0,0,0,0,0,-81,
2023-06-30 16:55:59.39,0,0,0,0,0,16,
2023-06-30 16:55:59.943,0,0,0,0,0,81,
2023-06-30 16:56:00.495,0,0,0,0,0,95,
2023-06-30 16:56:01.158,0,0,0,0,0,16,
2023-06-30 16:56:01.71,0,0,0,0,0,-59,
2023-06-30 16:56:02.373,0,0,0,0,0,-99,
2023-06-30 16:56:02.925,0,0,0,0,0,-59,
2023-06-30 16:56:03.588,0,0,0,0,0,45,
2023-06-30 16:56:04.14,0,0,0,0,0,95,
2023-06-30 16:56:04.693,0,0,0,0,0,81,
2023-06-30 16:56:05.356,0,0,0,0,0,-16,
2023-06-30 16:56:05.908,0,0,0,0,0,-81,
2023-06-30 16:56:06.571,0,0,0,0,0,-89,
2023-06-30 16:56:07.123,0,0,0,0,0,-31,
2023-06-30 16:56:07.786,0,0,0,0,0,71,
2023-06-30 16:56:08.338,0,0,0,0,0,100,
2023-06-30 16:56:08.89,0,0,0,0,0,59,
2023-06-30 16:56:09.553,0,0,0,0,0,-31,
2023-06-30 16:56:10.106,0,0,0,0,0,-95,
2023-06-30 16:56:10.768,0,0,0,0,0,-71,
2023-06-30 16:56:11.321,0,0,0,0,0,0,
2023-06-30 16:56:11.984,0,0,0,0,0,89,
2023-06-30 16:56:12.536,0,0,0,0,0,95,
2023-06-30 16:56:13.199,0,0,0,0,0,16,
2023-06-30 16:56:13.751,0,0,0,0,0,-59,
2023-06-30 16:56:14.304,0,0,0,0,0,-100,
2023-06-30 16:56:14.966,0,0,0,0,0,-45,
2023-06-30 16:56:15.519,0,0,0,0,0,31,
2023-06-30 16:56:16.181,0,0,0,0,0,99,
